Team,Year,Week,Win/Loss,Win Loss Factor,Home/Away,Points Scored,Points Allowed,3rd Down,3rd Down Allowed,Pass Yards,Pass Yards Allowed,Rush Yards,Rush Yards Allowed,Opp Team
2,0,13,1,0.215123,0,-4.363636,-4.090909,-0.013021,0.023253,-83.272727,6.727273,32.454545,2.818182,13
18,0,2,0,-0.124353,0,-11,3,0.351515,0.158333,48,-80,-120,3,23
12,2,7,1,0.122459,0,9.5,10,0.094266,0.034661,59.666667,97.666667,-17.5,3,28
8,2,10,0,-0.410237,0,-8.263889,-3.847222,-0.075108,0.017066,-91.083333,-11.166667,43.277778,3.111111,12
23,1,8,0,0.060283,1,-8.071429,-1.690476,-0.020682,0.058471,-113.238095,12.952381,10.833333,3.142857,28
12,1,8,1,0.117002,1,7,3.285714,0.15393,0.093583,40.571429,32.571429,26.428571,3.285714,18
3,0,11,0,-0.127351,0,-11.666667,2.555556,-0.131154,0.019332,-105,49.444444,-32.777778,3.444444,13
7,2,5,0,0,1,3.25,-3.25,0.054392,-0.078283,-109.75,-27,122.75,3.5,13
18,0,4,0,-0.241355,0,-17,2.666667,-0.182881,0.143056,-63.666667,-18.666667,-113.666667,3.666667,29
4,0,8,1,-0.462117,1,-8.047619,2.214286,-0.082659,-0.073352,7.119048,-10.571429,-46.309524,3.880952,9
23,0,7,0,0.108599,0,-4,0.333333,-0.122332,-0.054748,-30.166667,14.666667,-45.166667,4,29
13,0,8,0,0,0,5.5,0.166667,0.10595,0.083367,72.166667,23,10.833333,4,15
20,0,15,0,0,1,3.923077,4.923077,0.110664,-0.017438,12.076923,24.692308,53.615385,4.384615,23
2,1,12,1,-0.098121,1,0.818182,-7,0.043602,-0.04238,10.545455,-41.818182,-12.818182,4.454545,9
3,0,5,0,-0.231059,1,-8.25,9.75,-0.063316,0.088404,-46.25,2.25,-46,4.5,31
23,1,13,0,-0.531132,1,-11.909091,4.727273,-0.099585,0.082215,-86.090909,11.545455,3.272727,4.727273,31
27,1,15,0,-0.124353,0,-6.461538,4,0.023502,0.104255,-17.076923,33.615385,-32.846154,4.923077,28
10,2,8,0,0.062177,1,-1.714286,-2.285714,0.028522,0.086473,39.571429,-27.285714,-24.571429,5,19
19,1,7,0,-0.353518,0,-1.333333,8.333333,-0.046214,0.106774,-5.5,98.666667,-3.166667,5,22
22,1,8,1,-0.074653,0,-8.142857,4.571429,-0.015412,0.14541,-28.571429,13.285714,-34.571429,5.142857,31
12,1,13,1,0.117002,1,4.818182,4.909091,0.127158,-0.052082,66.727273,28.363636,-2.909091,5.181818,15
12,2,12,1,0.548633,1,13.2,0.6,0.106417,-0.030214,102.8,31.9,38.5,5.3,29
14,0,12,0,0.353518,0,3.4,0.1,0.116574,0.100176,-45.5,-26.6,32.8,5.5,27
20,0,12,1,0.056719,1,3.4,3.072727,0.025565,-0.161414,-10.418182,14.7,44.427273,5.827273,25
0,0,7,1,0.440034,0,13.5,-2.833333,0.238407,0.138058,106,2.833333,-13.5,5.833333,3
2,1,9,1,0,0,5.125,0.625,0.082637,0.099745,39.5,51.25,-13.375,5.875,25
22,1,3,1,-0.122459,0,-10,5.5,-0.053174,0.130555,-43.5,-52,-54.5,6,28
7,1,3,1,0,1,13,1.5,-0.062193,0.109141,116,26.5,26,6,23
2,2,9,1,0.062177,1,6,0.75,-0.007695,0.093326,-40.25,24.75,35.375,6,10
10,1,2,0,-0.124353,1,-18,14,-0.16084,-0.010101,-89,53,39,6,29
18,0,13,1,-0.456479,0,-11.545455,-4.636364,0.04031,-0.079629,-73.363636,-84.090909,-3.818182,6.090909,30
19,0,5,0,-0.244919,1,-6.75,8,-0.181003,-0.015107,-45.5,-21.25,-50,6.25,29
9,2,5,1,0.122459,0,0.5,-1.5,-0.082553,-0.004487,-45,14.25,1.75,6.25,19
2,0,6,0,0.122459,1,3.75,-1.5,0.058063,-0.009011,2,-22.5,87.25,6.25,15
3,1,9,0,-0.056719,0,-8.714286,6.553571,0.035951,0.021334,1.982143,31.660714,-46.428571,6.535714,10
